LONG H (cm),1967,1968,1973,1974,1977,1978,1979,1980,1981,1982,1983,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
8,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,7,,,,,,1,,,
17,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,17,,,,,,,,4,
18,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,44,,,,,,,,24,
19,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,39,,,,,,1,,92,
20,,,,,,,,,,,,,,,,,,2,,3,,,,,,,1,,1,6,5,1,16,,28,,,,2,,1,,98,
21,,,,,,,,,,,,,,,,,5,0,,,,,,,,,10,1,4,48,26,7,32,,20,,1,,11,,,,76,
22,,,,,,,,,,,,,,,5,,13,2,,,,,,,,,10,28,26,93,77,28,60,5,42,,2,,38,,,,84,7
23,,,,,,,,,,,,,,,10,,27,0,,,,,,,,,12,45,45,82,163,66,74,10,57,,2,,72,1,1,,116,14
24,,2,,,,,,,,,,,,,12,,35,3,,1,,,,,,,15,40,56,76,213,91,93,10,41,,10,,86,2,7,,110,18
25,,9,,3,,,,,,,,8,,,15,,45,10,,,,,,,,,18,31,42,62,207,135,85,5,27,,26,,93,4,32,,154,24
26,,17,,3,,,,,,,,11,,,15,,51,16,,1,,,,,,,12,36,25,33,211,187,90,13,25,,29,,69,5,44,1,202,28
27,,12,,2,,,,,,,,13,4,,16,,53,9,,6,,2,,,,,14,20,17,32,181,178,106,16,32,1,44,,46,6,59,1,274,17
28,,23,,1,,,,,,,,24,10,,18,,34,5,,10,,2,6,,,,6,12,8,42,133,165,122,18,44,6,55,,10,4,95,1,268,36
29,,18,,,,,,,,1,,32,10,,8,,63,3,,10,,8,19,1,,,5,13,,33,102,100,133,31,49,8,90,,15,10,90,1,190,47
30,,11,,7,,1,,8,,1,,27,8,,7,,56,2,,10,,14,55,3,,,4,9,1,20,42,77,131,38,76,15,103,,6,10,69,,148,85
31,,2,,5,,,,20,,2,,59,7,,5,,62,0,4,6,,29,53,3,,,4,15,1,17,29,41,88,40,76,50,96,,6,14,30,3,88,69
32,,,,8,,,,8,1,2,,39,6,,5,,38,0,4,1,,37,55,,,,2,7,3,6,35,45,117,52,74,62,108,,7,30,21,1,34,87
33,,,,5,,,,8,2,5,,30,14,2,4,,19,0,6,1,,11,80,,,,11,16,10,14,36,25,93,39,76,86,75,,8,24,22,5,25,144
34,,,,2,,,,2,3,7,,10,30,,4,1,32,1,1,,,21,84,1,,,16,36,18,16,40,20,105,29,59,81,35,7,3,37,34,14,26,168
35,,,,2,,3,,4,4,22,3,11,33,,1,4,41,0,3,,,30,101,1,,,11,54,7,28,38,27,81,39,62,67,42,15,9,34,46,31,41,158
36,,,,3,1,4,,2,5,8,12,14,33,,,5,38,10,1,3,,30,112,1,,,9,85,7,30,45,33,62,61,94,107,41,51,11,52,38,55,28,219
37,,,,2,2,4,,6,4,2,24,20,57,,,4,50,27,1,5,,68,118,,,,24,56,4,36,36,22,36,89,130,98,58,110,4,68,50,103,16,307
38,,,1,2,7,3,,16,2,0,43,32,120,,,,49,38,,4,,165,89,,,,29,50,2,30,37,10,28,145,213,67,111,165,5,72,90,75,12,260
39,,,1,4,8,3,,4,,4,29,32,150,,,,70,58,1,11,3,228,77,,,,22,26,,20,17,6,50,198,263,47,145,121,5,82,100,42,20,196
40,,,1,,7,2,,2,2,6,41,43,149,,,,66,49,1,5,2,350,69,,1,,16,24,3,37,22,7,57,183,345,63,148,65,,61,242,38,18,124
41,,,4,2,1,,,,3,2,20,35,137,,,2,92,53,1,15,2,286,81,,1,,9,11,1,43,28,5,58,163,350,69,135,64,4,24,333,46,12,234
42,,,3,3,3,2,,,3,9,8,31,76,,,1,138,53,2,21,5,222,65,,1,,5,7,12,53,74,13,40,169,410,151,119,79,4,20,370,43,6,337
